
2024/11/18 (12:52:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (12:52:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (17:55:21) | ===> btop++ v.1.4.0
2024/11/18 (17:55:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (17:55:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (19:13:14) | ===> btop++ v.1.4.0
2024/11/18 (19:13:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (19:13:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (21:00:39) | ===> btop++ v.1.4.0
2024/11/18 (21:00:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (21:00:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (21:01:43) | ===> btop++ v.1.4.0
2024/11/18 (21:01:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (21:01:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (19:22:10) | ===> btop++ v.1.4.0
2024/11/20 (19:22:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (19:22:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (20:06:12) | ===> btop++ v.1.4.0
2024/11/20 (20:06:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (20:06:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (11:44:29) | ===> btop++ v.1.4.0
2024/11/23 (11:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/23 (11:44:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (04:39:55) | ===> btop++ v.1.4.0
2024/11/25 (04:39:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/25 (04:39:55) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/25 (05:13:03) | ERROR: Stall in Runner thread, restarting!

2024/11/25 (05:16:13) | ===> btop++ v.1.4.0
2024/11/25 (05:16:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/25 (05:16:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (04:47:07) | ===> btop++ v.1.4.0
2024/11/29 (04:47:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (04:47:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (07:41:03) | ===> btop++ v.1.4.0
2024/11/29 (07:41:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (07:41:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (15:28:50) | ===> btop++ v.1.4.0
2024/11/29 (15:28:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (15:28:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (06:28:58) | ===> btop++ v.1.4.0
2024/11/30 (06:28:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (06:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (13:12:22) | ===> btop++ v.1.4.0
2024/11/30 (13:12:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (13:12:22) | WARNING: Intel GPU: Failed to initialize PMU
